suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
batched,batched_eigh,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.032916,0.001417,ok
batched,batched_solve,f64,1,"2x2xbatch64 (native batch layout),rhs=1",tenferro-eager,0.024334,0.002667,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.028000,0.000084,ok
batched,grad_sum_batched_solve_backward,f64,1,"2x2xbatch64 (native batch layout),rhs=1",tenferro-eager,0.070917,0.002042,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,4x4xbatch64 (native batch layout),tenferro-eager,0.003083,0.000084,ok
batched,batched_svd,f64,1,4x4xbatch64 (native batch layout),tenferro-eager,0.115459,0.001250,ok
batched,batched_qr,f64,1,4x4xbatch64 (native batch layout),tenferro-eager,0.036083,0.000125,ok
batched,batched_eigh,f64,1,4x4xbatch64 (native batch layout),tenferro-eager,0.076958,0.001792,ok
batched,batched_solve,f64,1,"4x4xbatch64 (native batch layout),rhs=1",tenferro-eager,0.031709,0.000167,ok
batched,grad_sum_batched_matmul_backward,f64,1,4x4xbatch64 (native batch layout),tenferro-eager,0.029584,0.000333,ok
batched,grad_sum_batched_solve_backward,f64,1,"4x4xbatch64 (native batch layout),rhs=1",tenferro-eager,0.082083,0.000500,ok
small,matmul,f64,1,2x2,tenferro-trace,0.000625,0.000083,ok
small,einsum_ij_jk_ik,f64,1,2x2,tenferro-trace,0.005333,0.000459,ok
small,svd,f64,1,2x2,tenferro-trace,0.001125,0.000041,ok
small,qr,f64,1,2x2,tenferro-trace,0.000833,0.000042,ok
small,eigh,f64,1,2x2,tenferro-trace,0.000875,0.000041,ok
small,solve,f64,1,"2x2,rhs=1",tenferro-trace,0.000875,0.000084,ok
small,solve,f64,1,"2x2,rhs=4",tenferro-trace,0.000916,0.000083,ok
small,grad_sum_matmul_backward,f64,1,2x2,tenferro-trace,0.003500,0.000082,ok
small,grad_sum_svd_s_backward,f64,1,2x2,tenferro-trace,0.007625,0.000125,ok
small,grad_sum_solve_backward,f64,1,"2x2,rhs=1",tenferro-trace,0.008791,0.000125,ok
small,matmul,f64,1,4x4,tenferro-trace,0.000625,0.000000,ok
small,einsum_ij_jk_ik,f64,1,4x4,tenferro-trace,0.005167,0.000083,ok
small,svd,f64,1,4x4,tenferro-trace,0.002083,0.000001,ok
small,qr,f64,1,4x4,tenferro-trace,0.001000,0.000083,ok
small,eigh,f64,1,4x4,tenferro-trace,0.001459,0.000042,ok
small,solve,f64,1,"4x4,rhs=1",tenferro-trace,0.000958,0.000083,ok
small,solve,f64,1,"4x4,rhs=4",tenferro-trace,0.000916,0.000083,ok
small,grad_sum_matmul_backward,f64,1,4x4,tenferro-trace,0.003375,0.000083,ok
small,grad_sum_svd_s_backward,f64,1,4x4,tenferro-trace,0.008750,0.000167,ok
small,grad_sum_solve_backward,f64,1,"4x4,rhs=1",tenferro-trace,0.009042,0.000333,ok
small,matmul,f64,1,8x8,tenferro-trace,0.000667,0.000042,ok
small,einsum_ij_jk_ik,f64,1,8x8,tenferro-trace,0.005291,0.001208,ok
small,svd,f64,1,8x8,tenferro-trace,0.005625,0.000083,ok
small,qr,f64,1,8x8,tenferro-trace,0.001375,0.000000,ok
small,eigh,f64,1,8x8,tenferro-trace,0.003375,0.000000,ok
small,solve,f64,1,"8x8,rhs=1",tenferro-trace,0.001125,0.000041,ok
small,solve,f64,1,"8x8,rhs=4",tenferro-trace,0.001125,0.000042,ok
small,grad_sum_matmul_backward,f64,1,8x8,tenferro-trace,0.003584,0.000167,ok
small,grad_sum_svd_s_backward,f64,1,8x8,tenferro-trace,0.012625,0.000125,ok
small,grad_sum_solve_backward,f64,1,"8x8,rhs=1",tenferro-trace,0.009958,0.001083,ok
large,matmul,f64,1,128x128,tenferro-trace,0.084666,0.002833,ok
large,matmul,f64,1,256x256,tenferro-trace,0.618250,0.019834,ok
large,matmul_rect,f64,1,256x1024 * 1024x256,tenferro-trace,2.577042,0.020583,ok
large,svd,f64,1,64x64,tenferro-trace,0.379084,0.004667,ok
large,qr,f64,1,64x64,tenferro-trace,0.054125,0.002125,ok
large,eigh,f64,1,64x64,tenferro-trace,0.155417,0.002042,ok
large,solve,f64,1,"64x64,rhs=1",tenferro-trace,0.013333,0.000333,ok
large,solve,f64,1,"64x64,rhs=16",tenferro-trace,0.015208,0.000208,ok
large,solve,f64,1,"64x64,rhs=64",tenferro-trace,0.027000,0.000166,ok
large,grad_sum_matmul,f64,1,64x64,tenferro-trace,0.017042,0.003667,ok
large,grad_sum_matmul_backward,f64,1,64x64,tenferro-trace,0.055792,0.001666,ok
