suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
large,matmul,primal,f64,system-accelerate,full,128x128,3,15,0.063291,0.016083,ok
large,matmul,primal,f64,system-accelerate,full,256x256,3,15,0.215542,0.011500,ok
large,matmul,primal,f64,system-accelerate,full,512x512,3,15,0.947375,0.076668,ok
large,matmul,primal,f64,system-accelerate,full,1024x1024,3,15,5.460500,0.325834,ok
large,matmul_rect,primal,f64,system-accelerate,full,1024x256 * 256x1024,3,15,1.296375,0.031916,ok
large,matmul_rect,primal,f64,system-accelerate,full,256x1024 * 1024x256,3,15,0.358500,0.025750,ok
large,svd,primal,f64,system-accelerate,full,64x64,3,15,0.304708,0.013666,ok
large,qr,primal,f64,system-accelerate,full,64x64,3,15,0.085250,0.004625,ok
large,eigh,primal,f64,system-accelerate,full,64x64,3,15,0.226750,0.010500,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.039041,0.007708,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=16",3,15,0.037625,0.004457,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=64",3,15,0.045791,0.002084,ok
large,svd,primal,f64,system-accelerate,full,128x128,3,15,1.248167,0.017333,ok
large,qr,primal,f64,system-accelerate,full,128x128,3,15,0.386416,0.006625,ok
large,eigh,primal,f64,system-accelerate,full,128x128,3,15,0.645750,0.033208,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=1",3,15,0.085125,0.004876,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=16",3,15,0.088500,0.004333,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=64",3,15,0.110834,0.005250,ok
large,svd,primal,f64,system-accelerate,full,256x256,3,15,4.889625,0.024499,ok
large,qr,primal,f64,system-accelerate,full,256x256,3,15,1.179333,0.021416,ok
large,eigh,primal,f64,system-accelerate,full,256x256,3,15,2.755625,0.045749,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=1",3,15,0.304208,0.016084,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=16",3,15,0.317375,0.016541,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=64",3,15,0.353000,0.014833,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,64x64,3,15,0.038625,0.010333,ok
large,grad_sum_matmul,backward,f64,system-accelerate,full,64x64,3,15,0.245167,0.011625,ok
large,grad_sum_svd_s,backward,f64,system-accelerate,full,64x64,3,15,0.745750,0.018708,ok
large,grad_sum_solve,backward,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.383916,0.017000,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,128x128,3,15,0.052500,0.002708,ok
