suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
large,matmul,f64,4,128x128,tenferro-eager,0.063291,0.016083,ok
large,matmul,f64,4,256x256,tenferro-eager,0.215542,0.011500,ok
large,matmul,f64,4,512x512,tenferro-eager,0.947375,0.076668,ok
large,matmul,f64,4,1024x1024,tenferro-eager,5.460500,0.325834,ok
large,matmul_rect,f64,4,1024x256 * 256x1024,tenferro-eager,1.296375,0.031916,ok
large,matmul_rect,f64,4,256x1024 * 1024x256,tenferro-eager,0.358500,0.025750,ok
large,svd,f64,4,64x64,tenferro-eager,0.304708,0.013666,ok
large,qr,f64,4,64x64,tenferro-eager,0.085250,0.004625,ok
large,eigh,f64,4,64x64,tenferro-eager,0.226750,0.010500,ok
large,solve,f64,4,"64x64,rhs=1",tenferro-eager,0.039041,0.007708,ok
large,solve,f64,4,"64x64,rhs=16",tenferro-eager,0.037625,0.004457,ok
large,solve,f64,4,"64x64,rhs=64",tenferro-eager,0.045791,0.002084,ok
large,svd,f64,4,128x128,tenferro-eager,1.248167,0.017333,ok
large,qr,f64,4,128x128,tenferro-eager,0.386416,0.006625,ok
large,eigh,f64,4,128x128,tenferro-eager,0.645750,0.033208,ok
large,solve,f64,4,"128x128,rhs=1",tenferro-eager,0.085125,0.004876,ok
large,solve,f64,4,"128x128,rhs=16",tenferro-eager,0.088500,0.004333,ok
large,solve,f64,4,"128x128,rhs=64",tenferro-eager,0.110834,0.005250,ok
large,svd,f64,4,256x256,tenferro-eager,4.889625,0.024499,ok
large,qr,f64,4,256x256,tenferro-eager,1.179333,0.021416,ok
large,eigh,f64,4,256x256,tenferro-eager,2.755625,0.045749,ok
large,solve,f64,4,"256x256,rhs=1",tenferro-eager,0.304208,0.016084,ok
large,solve,f64,4,"256x256,rhs=16",tenferro-eager,0.317375,0.016541,ok
large,solve,f64,4,"256x256,rhs=64",tenferro-eager,0.353000,0.014833,ok
large,grad_sum_matmul,f64,4,64x64,tenferro-eager,0.038625,0.010333,ok
large,grad_sum_matmul_backward,f64,4,64x64,tenferro-eager,0.245167,0.011625,ok
large,grad_sum_svd_s_backward,f64,4,64x64,tenferro-eager,0.745750,0.018708,ok
large,grad_sum_solve_backward,f64,4,"64x64,rhs=1",tenferro-eager,0.383916,0.017000,ok
large,grad_sum_matmul,f64,4,128x128,tenferro-eager,0.052500,0.002708,ok
large,grad_sum_matmul_backward,f64,4,128x128,tenferro-eager,0.292875,0.016666,ok
large,grad_sum_svd_s_backward,f64,4,128x128,tenferro-eager,2.649583,0.038083,ok
large,grad_sum_solve_backward,f64,4,"128x128,rhs=1",tenferro-eager,0.595542,0.027584,ok
batched,batched_matmul_ikb_kjb_ijb,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.013791,0.002333,ok
batched,batched_svd,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.040375,0.004459,ok
batched,batched_qr,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.030750,0.002958,ok
batched,batched_eigh,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.029541,0.001875,ok
batched,batched_solve,f64,4,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.030709,0.002625,ok
batched,grad_sum_batched_matmul_backward,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.218875,0.009958,ok
batched,grad_sum_batched_solve_backward,f64,4,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.362709,0.011625,ok
