suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
small,matmul,f64,1,2x2,tenferro-eager,0.002375,0.000958,ok
small,einsum_ij_jk_ik,f64,1,2x2,tenferro-eager,0.036541,0.007625,ok
small,svd,f64,1,2x2,tenferro-eager,0.004167,0.000208,ok
small,qr,f64,1,2x2,tenferro-eager,0.003583,0.000209,ok
small,eigh,f64,1,2x2,tenferro-eager,0.003417,0.000251,ok
small,solve,f64,1,"2x2,rhs=1",tenferro-eager,0.003750,0.000083,ok
small,solve,f64,1,"2x2,rhs=4",tenferro-eager,0.003750,0.000082,ok
small,grad_sum_matmul_backward,f64,1,2x2,tenferro-eager,0.029250,0.002833,ok
small,grad_sum_svd_s_backward,f64,1,2x2,tenferro-eager,0.043500,0.003125,ok
small,grad_sum_solve_backward,f64,1,"2x2,rhs=1",tenferro-eager,0.030334,0.000541,ok
small,matmul,f64,1,4x4,tenferro-eager,0.002000,0.000208,ok
small,einsum_ij_jk_ik,f64,1,4x4,tenferro-eager,0.015542,0.000542,ok
small,svd,f64,1,4x4,tenferro-eager,0.003458,0.000084,ok
small,qr,f64,1,4x4,tenferro-eager,0.002083,0.000083,ok
small,eigh,f64,1,4x4,tenferro-eager,0.002708,0.000000,ok
small,solve,f64,1,"4x4,rhs=1",tenferro-eager,0.002291,0.000042,ok
small,solve,f64,1,"4x4,rhs=4",tenferro-eager,0.002250,0.000042,ok
small,grad_sum_matmul_backward,f64,1,4x4,tenferro-eager,0.045792,0.000917,ok
small,grad_sum_svd_s_backward,f64,1,4x4,tenferro-eager,0.044542,0.000208,ok
small,grad_sum_solve_backward,f64,1,"4x4,rhs=1",tenferro-eager,0.030750,0.000208,ok
small,matmul,f64,1,8x8,tenferro-eager,0.002125,0.000041,ok
small,einsum_ij_jk_ik,f64,1,8x8,tenferro-eager,0.026334,0.000417,ok
small,svd,f64,1,8x8,tenferro-eager,0.013458,0.000167,ok
small,qr,f64,1,8x8,tenferro-eager,0.004542,0.000084,ok
small,eigh,f64,1,8x8,tenferro-eager,0.009125,0.000125,ok
small,solve,f64,1,"8x8,rhs=1",tenferro-eager,0.004834,0.000125,ok
small,solve,f64,1,"8x8,rhs=4",tenferro-eager,0.004875,0.000083,ok
