suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/elementwise_reduction,add,f64,1,"33554432",tenferro-direct,6.540458,0.198917,ok,"binary elementwise"
cpu/elementwise_reduction,add,f64,1,"33554432",tenferro-trace,6.610208,0.213250,ok,"binary elementwise"
cpu/elementwise_reduction,sub,f64,1,"33554432",tenferro-direct,6.458875,0.135251,ok,"binary elementwise"
cpu/elementwise_reduction,sub,f64,1,"33554432",tenferro-trace,6.562167,0.202958,ok,"binary elementwise"
cpu/elementwise_reduction,mul,f64,1,"33554432",tenferro-direct,6.633042,0.060916,ok,"binary elementwise"
cpu/elementwise_reduction,mul,f64,1,"33554432",tenferro-trace,6.670708,0.233000,ok,"binary elementwise"
cpu/elementwise_reduction,div,f64,1,"33554432",tenferro-direct,6.479000,0.123499,ok,"binary elementwise"
cpu/elementwise_reduction,div,f64,1,"33554432",tenferro-trace,6.603500,0.133707,ok,"binary elementwise"
cpu/elementwise_reduction,neg,f64,1,"33554432",tenferro-direct,4.391375,0.058167,ok,"unary elementwise"
cpu/elementwise_reduction,neg,f64,1,"33554432",tenferro-trace,4.380791,0.088292,ok,"unary elementwise"
cpu/elementwise_reduction,abs,f64,1,"33554432",tenferro-direct,4.352417,0.024418,ok,"unary elementwise"
cpu/elementwise_reduction,abs,f64,1,"33554432",tenferro-trace,4.346334,0.054833,ok,"unary elementwise"
cpu/elementwise_reduction,sign,f64,1,"33554432",tenferro-direct,5.066875,0.030041,ok,"unary elementwise"
cpu/elementwise_reduction,sign,f64,1,"33554432",tenferro-trace,5.074042,0.016750,ok,"unary elementwise"
cpu/elementwise_reduction,maximum,f64,1,"33554432",tenferro-direct,6.521459,0.026208,ok,"binary elementwise"
cpu/elementwise_reduction,maximum,f64,1,"33554432",tenferro-trace,6.542041,0.026750,ok,"binary elementwise"
cpu/elementwise_reduction,minimum,f64,1,"33554432",tenferro-direct,6.545625,0.023542,ok,"binary elementwise"
cpu/elementwise_reduction,minimum,f64,1,"33554432",tenferro-trace,6.559792,0.049291,ok,"binary elementwise"
cpu/elementwise_reduction,compare_lt,f64,1,"33554432",tenferro-direct,5.155750,0.023334,ok,"ordered compare"
