suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,system-accelerate,full,2x2,3,15,0.006458,0.002082,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,2x2,3,15,0.005875,0.000124,ok
small,svd,primal,f64,system-accelerate,full,2x2,3,15,0.012542,0.003833,ok
small,qr,primal,f64,system-accelerate,full,2x2,3,15,0.010000,0.000584,ok
small,eigh,primal,f64,system-accelerate,full,2x2,3,15,0.005625,0.000125,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.008375,0.001750,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=4",3,15,0.012333,0.000209,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,2x2,3,15,0.132458,0.026209,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,2x2,3,15,0.109459,0.006000,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.158916,0.026249,ok
small,matmul,primal,f64,system-accelerate,full,4x4,3,15,0.005542,0.000250,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,4x4,3,15,0.005750,0.000124,ok
small,svd,primal,f64,system-accelerate,full,4x4,3,15,0.011500,0.000417,ok
small,qr,primal,f64,system-accelerate,full,4x4,3,15,0.008000,0.000375,ok
small,eigh,primal,f64,system-accelerate,full,4x4,3,15,0.008500,0.000208,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.011250,0.000625,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=4",3,15,0.011125,0.000625,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,4x4,3,15,0.111583,0.003458,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,4x4,3,15,0.087834,0.010708,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.143375,0.009667,ok
small,matmul,primal,f64,system-accelerate,full,8x8,3,15,0.004792,0.000084,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,8x8,3,15,0.005042,0.000334,ok
small,svd,primal,f64,system-accelerate,full,8x8,3,15,0.015000,0.000375,ok
small,qr,primal,f64,system-accelerate,full,8x8,3,15,0.006375,0.000541,ok
small,eigh,primal,f64,system-accelerate,full,8x8,3,15,0.008375,0.000167,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.008625,0.000958,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=4",3,15,0.010209,0.000125,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,8x8,3,15,0.106083,0.015375,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,8x8,3,15,0.094125,0.006000,ok
