suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
small,matmul,primal,f64,system-accelerate,full,2x2,3,15,0.044375,0.007666,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,2x2,3,15,0.042833,0.006500,ok
small,svd,primal,f64,system-accelerate,full,2x2,3,15,0.033291,0.008875,ok
small,qr,primal,f64,system-accelerate,full,2x2,3,15,0.030541,0.005833,ok
small,eigh,primal,f64,system-accelerate,full,2x2,3,15,0.031583,0.005001,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.043000,0.006875,ok
small,solve,primal,f64,system-accelerate,full,"2x2,rhs=4",3,15,0.039458,0.004583,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,2x2,3,15,0.205916,0.020959,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,2x2,3,15,0.183833,0.011000,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"2x2,rhs=1",3,15,0.292208,0.014916,ok
small,matmul,primal,f64,system-accelerate,full,4x4,3,15,0.036250,0.005417,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,4x4,3,15,0.049375,0.010000,ok
small,svd,primal,f64,system-accelerate,full,4x4,3,15,0.035083,0.009751,ok
small,qr,primal,f64,system-accelerate,full,4x4,3,15,0.028750,0.005042,ok
small,eigh,primal,f64,system-accelerate,full,4x4,3,15,0.028833,0.004625,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.041875,0.002292,ok
small,solve,primal,f64,system-accelerate,full,"4x4,rhs=4",3,15,0.040958,0.002625,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,4x4,3,15,0.201625,0.019874,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,4x4,3,15,0.184250,0.034250,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"4x4,rhs=1",3,15,0.300833,0.028958,ok
small,matmul,primal,f64,system-accelerate,full,8x8,3,15,0.039166,0.006542,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,8x8,3,15,0.038042,0.004209,ok
small,svd,primal,f64,system-accelerate,full,8x8,3,15,0.037250,0.003292,ok
small,qr,primal,f64,system-accelerate,full,8x8,3,15,0.031250,0.002833,ok
small,eigh,primal,f64,system-accelerate,full,8x8,3,15,0.031625,0.003042,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.039500,0.003293,ok
small,solve,primal,f64,system-accelerate,full,"8x8,rhs=4",3,15,0.040500,0.003500,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,8x8,3,15,0.218125,0.016625,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,8x8,3,15,0.176459,0.010833,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"8x8,rhs=1",3,15,0.316334,0.077000,ok
small,matmul,primal,f64,system-accelerate,full,16x16,3,15,0.042125,0.007708,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,16x16,3,15,0.041584,0.003833,ok
small,svd,primal,f64,system-accelerate,full,16x16,3,15,0.050042,0.003584,ok
small,qr,primal,f64,system-accelerate,full,16x16,3,15,0.030125,0.003458,ok
small,eigh,primal,f64,system-accelerate,full,16x16,3,15,0.038625,0.003292,ok
small,solve,primal,f64,system-accelerate,full,"16x16,rhs=1",3,15,0.045458,0.005750,ok
small,solve,primal,f64,system-accelerate,full,"16x16,rhs=4",3,15,0.043542,0.003541,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,16x16,3,15,0.214208,0.031750,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,16x16,3,15,0.210125,0.013542,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"16x16,rhs=1",3,15,0.297208,0.022291,ok
small,matmul,primal,f64,system-accelerate,full,32x32,3,15,0.041375,0.006500,ok
small,einsum_ij_jk_ik,primal,f64,system-accelerate,full,32x32,3,15,0.041834,0.005959,ok
small,svd,primal,f64,system-accelerate,full,32x32,3,15,0.104292,0.013792,ok
small,qr,primal,f64,system-accelerate,full,32x32,3,15,0.042083,0.009625,ok
small,eigh,primal,f64,system-accelerate,full,32x32,3,15,0.074292,0.007167,ok
small,solve,primal,f64,system-accelerate,full,"32x32,rhs=1",3,15,0.052750,0.004249,ok
small,solve,primal,f64,system-accelerate,full,"32x32,rhs=4",3,15,0.051041,0.002166,ok
small,grad_sum_matmul,backward,f64,system-accelerate,full,32x32,3,15,0.212125,0.021375,ok
small,grad_sum_svd_s,backward,f64,system-accelerate,full,32x32,3,15,0.309125,0.013791,ok
small,grad_sum_solve,backward,f64,system-accelerate,full,"32x32,rhs=1",3,15,0.322500,0.024375,ok
large,matmul,primal,f64,system-accelerate,full,128x128,3,15,0.064083,0.005542,ok
large,matmul,primal,f64,system-accelerate,full,256x256,3,15,0.192667,0.009542,ok
large,matmul,primal,f64,system-accelerate,full,512x512,3,15,0.915000,0.074876,ok
large,matmul,primal,f64,system-accelerate,full,1024x1024,3,15,6.702625,0.350500,ok
large,matmul_rect,primal,f64,system-accelerate,full,1024x256 * 256x1024,3,15,1.641625,0.101208,ok
large,matmul_rect,primal,f64,system-accelerate,full,256x1024 * 1024x256,3,15,0.561750,0.044376,ok
large,svd,primal,f64,system-accelerate,full,64x64,3,15,0.321542,0.011332,ok
large,qr,primal,f64,system-accelerate,full,64x64,3,15,0.098959,0.004833,ok
large,eigh,primal,f64,system-accelerate,full,64x64,3,15,0.297417,0.009874,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.114167,0.012416,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=16",3,15,0.113292,0.002709,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=64",3,15,0.124958,0.015583,ok
large,svd,primal,f64,system-accelerate,full,128x128,3,15,1.267417,0.053834,ok
large,qr,primal,f64,system-accelerate,full,128x128,3,15,0.422417,0.009834,ok
large,eigh,primal,f64,system-accelerate,full,128x128,3,15,1.164459,0.023751,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=1",3,15,0.601042,0.035249,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=16",3,15,0.610000,0.026125,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=64",3,15,0.634625,0.027416,ok
large,svd,primal,f64,system-accelerate,full,256x256,3,15,5.059458,0.047584,ok
large,qr,primal,f64,system-accelerate,full,256x256,3,15,1.276458,0.040458,ok
large,eigh,primal,f64,system-accelerate,full,256x256,3,15,8.977791,1.707917,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=1",3,15,5.482959,0.088334,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=16",3,15,5.657958,0.079376,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=64",3,15,5.636333,0.176417,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,64x64,3,15,0.051333,0.004333,ok
large,grad_sum_matmul,backward,f64,system-accelerate,full,64x64,3,15,0.264166,0.042667,ok
large,grad_sum_svd_s,backward,f64,system-accelerate,full,64x64,3,15,0.763250,0.034875,ok
large,grad_sum_solve,backward,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.438667,0.031126,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,128x128,3,15,0.073792,0.005375,ok
large,grad_sum_matmul,backward,f64,system-accelerate,full,128x128,3,15,0.275584,0.016957,ok
large,grad_sum_svd_s,backward,f64,system-accelerate,full,128x128,3,15,2.673833,0.083167,ok
large,grad_sum_solve,backward,f64,system-accelerate,full,"128x128,rhs=1",3,15,1.093750,0.038751,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,system-accelerate,full,2x2xbatch16 (native batch layout),3,15,0.039792,0.007833,ok
batched,batched_svd,primal,f64,system-accelerate,full,2x2xbatch16 (native batch layout),3,15,0.057625,0.003876,ok
batched,batched_qr,primal,f64,system-accelerate,full,2x2xbatch16 (native batch layout),3,15,0.045375,0.002666,ok
batched,batched_eigh,primal,f64,system-accelerate,full,2x2xbatch16 (native batch layout),3,15,0.046167,0.002500,ok
