suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
large,matmul,f64,4,128x128,tenferro-eager,0.096417,0.041708,ok
large,matmul,f64,4,256x256,tenferro-eager,0.237834,0.008417,ok
large,matmul,f64,4,512x512,tenferro-eager,0.903208,0.121792,ok
large,matmul,f64,4,1024x1024,tenferro-eager,4.909042,0.508374,ok
large,matmul_rect,f64,4,1024x256 * 256x1024,tenferro-eager,1.302167,0.020167,ok
large,matmul_rect,f64,4,256x1024 * 1024x256,tenferro-eager,0.368209,0.014417,ok
large,svd,f64,4,64x64,tenferro-eager,0.309917,0.017208,ok
large,qr,f64,4,64x64,tenferro-eager,0.090041,0.005875,ok
large,eigh,f64,4,64x64,tenferro-eager,0.226875,0.008541,ok
large,solve,f64,4,"64x64,rhs=1",tenferro-eager,0.052250,0.007834,ok
large,solve,f64,4,"64x64,rhs=16",tenferro-eager,0.051292,0.001750,ok
large,solve,f64,4,"64x64,rhs=64",tenferro-eager,0.061083,0.003792,ok
large,svd,f64,4,128x128,tenferro-eager,1.229958,0.006667,ok
large,qr,f64,4,128x128,tenferro-eager,0.385667,0.005083,ok
large,eigh,f64,4,128x128,tenferro-eager,0.631917,0.006999,ok
large,solve,f64,4,"128x128,rhs=1",tenferro-eager,0.098500,0.005375,ok
large,solve,f64,4,"128x128,rhs=16",tenferro-eager,0.103083,0.006666,ok
large,solve,f64,4,"128x128,rhs=64",tenferro-eager,0.126458,0.004666,ok
large,svd,f64,4,256x256,tenferro-eager,4.834208,0.021792,ok
large,qr,f64,4,256x256,tenferro-eager,1.180375,0.011084,ok
large,eigh,f64,4,256x256,tenferro-eager,2.700958,0.029334,ok
large,solve,f64,4,"256x256,rhs=1",tenferro-eager,0.318667,0.010833,ok
large,solve,f64,4,"256x256,rhs=16",tenferro-eager,0.328709,0.005208,ok
large,solve,f64,4,"256x256,rhs=64",tenferro-eager,0.379208,0.005418,ok
large,grad_sum_matmul,f64,4,64x64,tenferro-eager,0.038292,0.001751,ok
large,grad_sum_matmul_backward,f64,4,64x64,tenferro-eager,0.216875,0.014875,ok
large,grad_sum_svd_s_backward,f64,4,64x64,tenferro-eager,0.735750,0.013000,ok
large,grad_sum_solve_backward,f64,4,"64x64,rhs=1",tenferro-eager,0.365625,0.020792,ok
large,grad_sum_matmul,f64,4,128x128,tenferro-eager,0.049500,0.001167,ok
large,grad_sum_matmul_backward,f64,4,128x128,tenferro-eager,0.250708,0.009167,ok
large,grad_sum_svd_s_backward,f64,4,128x128,tenferro-eager,2.607375,0.021876,ok
large,grad_sum_solve_backward,f64,4,"128x128,rhs=1",tenferro-eager,0.578666,0.010167,ok
batched,batched_matmul_ikb_kjb_ijb,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.028667,0.004000,ok
batched,batched_svd,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.046541,0.001250,ok
batched,batched_qr,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.037000,0.003666,ok
batched,batched_eigh,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.035625,0.001626,ok
batched,batched_solve,f64,4,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.045167,0.004376,ok
batched,grad_sum_batched_matmul_backward,f64,4,2x2xbatch16 (native batch layout),tenferro-eager,0.190291,0.013167,ok
batched,grad_sum_batched_solve_backward,f64,4,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.355709,0.016333,ok
batched,batched_matmul_ikb_kjb_ijb,f64,4,4x4xbatch16 (native batch layout),tenferro-eager,0.030291,0.003459,ok
batched,batched_svd,f64,4,4x4xbatch16 (native batch layout),tenferro-eager,0.063875,0.004957,ok
batched,batched_qr,f64,4,4x4xbatch16 (native batch layout),tenferro-eager,0.039167,0.002375,ok
batched,batched_eigh,f64,4,4x4xbatch16 (native batch layout),tenferro-eager,0.043792,0.000624,ok
batched,batched_solve,f64,4,"4x4xbatch16 (native batch layout),rhs=1",tenferro-eager,0.044916,0.004583,ok
batched,grad_sum_batched_matmul_backward,f64,4,4x4xbatch16 (native batch layout),tenferro-eager,0.220042,0.068416,ok
batched,grad_sum_batched_solve_backward,f64,4,"4x4xbatch16 (native batch layout),rhs=1",tenferro-eager,0.354084,0.041333,ok
batched,batched_matmul_ikb_kjb_ijb,f64,4,8x8xbatch16 (native batch layout),tenferro-eager,0.032625,0.006917,ok
batched,batched_svd,f64,4,8x8xbatch16 (native batch layout),tenferro-eager,0.133667,0.007876,ok
batched,batched_qr,f64,4,8x8xbatch16 (native batch layout),tenferro-eager,0.047292,0.003541,ok
batched,batched_eigh,f64,4,8x8xbatch16 (native batch layout),tenferro-eager,0.079166,0.004250,ok
batched,batched_solve,f64,4,"8x8xbatch16 (native batch layout),rhs=1",tenferro-eager,0.053666,0.004625,ok
batched,grad_sum_batched_matmul_backward,f64,4,8x8xbatch16 (native batch layout),tenferro-eager,0.213459,0.020376,ok
batched,grad_sum_batched_solve_backward,f64,4,"8x8xbatch16 (native batch layout),rhs=1",tenferro-eager,0.366459,0.012041,ok
