suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
large,matmul,primal,f64,system-accelerate,full,128x128,3,15,0.033125,0.000875,ok
large,matmul,primal,f64,system-accelerate,full,256x256,3,15,0.108791,0.051625,ok
large,matmul,primal,f64,system-accelerate,full,512x512,3,15,0.912375,0.069875,ok
large,matmul,primal,f64,system-accelerate,full,1024x1024,3,15,5.258750,0.559709,ok
large,matmul_rect,primal,f64,system-accelerate,full,1024x256 * 256x1024,3,15,1.327917,0.051541,ok
large,matmul_rect,primal,f64,system-accelerate,full,256x1024 * 1024x256,3,15,0.373667,0.018917,ok
large,svd,primal,f64,system-accelerate,full,64x64,3,15,0.275042,0.006458,ok
large,qr,primal,f64,system-accelerate,full,64x64,3,15,0.070917,0.003084,ok
large,eigh,primal,f64,system-accelerate,full,64x64,3,15,0.202791,0.006334,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.024417,0.001375,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=16",3,15,0.028084,0.001250,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=64",3,15,0.038166,0.002416,ok
large,svd,primal,f64,system-accelerate,full,128x128,3,15,1.221750,0.015042,ok
large,qr,primal,f64,system-accelerate,full,128x128,3,15,0.379542,0.010166,ok
large,eigh,primal,f64,system-accelerate,full,128x128,3,15,0.642542,0.031292,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=1",3,15,0.073333,0.008042,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=16",3,15,0.079291,0.004167,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=64",3,15,0.102500,0.000625,ok
large,svd,primal,f64,system-accelerate,full,256x256,3,15,4.864917,0.038959,ok
large,qr,primal,f64,system-accelerate,full,256x256,3,15,1.171958,0.022041,ok
large,eigh,primal,f64,system-accelerate,full,256x256,3,15,2.716333,0.022292,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=1",3,15,0.288625,0.005250,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=16",3,15,0.299916,0.014250,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=64",3,15,0.344875,0.005209,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,64x64,3,15,0.013541,0.004917,ok
large,grad_sum_matmul,backward,f64,system-accelerate,full,64x64,3,15,0.096042,0.004083,ok
large,grad_sum_svd_s,backward,f64,system-accelerate,full,64x64,3,15,0.623375,0.030042,ok
large,grad_sum_solve,backward,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.190292,0.003333,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,128x128,3,15,0.030333,0.000542,ok
large,grad_sum_matmul,backward,f64,system-accelerate,full,128x128,3,15,0.141583,0.003334,ok
large,grad_sum_svd_s,backward,f64,system-accelerate,full,128x128,3,15,2.515208,0.039625,ok
large,grad_sum_solve,backward,f64,system-accelerate,full,"128x128,rhs=1",3,15,0.405333,0.014209,ok
batched,batched_matmul_ikb_kjb_ijb,primal,f64,system-accelerate,full,2x2xbatch16 (native batch layout),3,15,0.004375,0.000126,ok
batched,batched_svd,primal,f64,system-accelerate,full,2x2xbatch16 (native batch layout),3,15,0.029000,0.000667,ok
