suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
large,matmul,f64,1,128x128,tenferro-eager,0.033125,0.000875,ok
large,matmul,f64,1,256x256,tenferro-eager,0.108791,0.051625,ok
large,matmul,f64,1,512x512,tenferro-eager,0.912375,0.069875,ok
large,matmul,f64,1,1024x1024,tenferro-eager,5.258750,0.559709,ok
large,matmul_rect,f64,1,1024x256 * 256x1024,tenferro-eager,1.327917,0.051541,ok
large,matmul_rect,f64,1,256x1024 * 1024x256,tenferro-eager,0.373667,0.018917,ok
large,svd,f64,1,64x64,tenferro-eager,0.275042,0.006458,ok
large,qr,f64,1,64x64,tenferro-eager,0.070917,0.003084,ok
large,eigh,f64,1,64x64,tenferro-eager,0.202791,0.006334,ok
large,solve,f64,1,"64x64,rhs=1",tenferro-eager,0.024417,0.001375,ok
large,solve,f64,1,"64x64,rhs=16",tenferro-eager,0.028084,0.001250,ok
large,solve,f64,1,"64x64,rhs=64",tenferro-eager,0.038166,0.002416,ok
large,svd,f64,1,128x128,tenferro-eager,1.221750,0.015042,ok
large,qr,f64,1,128x128,tenferro-eager,0.379542,0.010166,ok
large,eigh,f64,1,128x128,tenferro-eager,0.642542,0.031292,ok
large,solve,f64,1,"128x128,rhs=1",tenferro-eager,0.073333,0.008042,ok
large,solve,f64,1,"128x128,rhs=16",tenferro-eager,0.079291,0.004167,ok
large,solve,f64,1,"128x128,rhs=64",tenferro-eager,0.102500,0.000625,ok
large,svd,f64,1,256x256,tenferro-eager,4.864917,0.038959,ok
large,qr,f64,1,256x256,tenferro-eager,1.171958,0.022041,ok
large,eigh,f64,1,256x256,tenferro-eager,2.716333,0.022292,ok
large,solve,f64,1,"256x256,rhs=1",tenferro-eager,0.288625,0.005250,ok
large,solve,f64,1,"256x256,rhs=16",tenferro-eager,0.299916,0.014250,ok
large,solve,f64,1,"256x256,rhs=64",tenferro-eager,0.344875,0.005209,ok
large,grad_sum_matmul,f64,1,64x64,tenferro-eager,0.013541,0.004917,ok
large,grad_sum_matmul_backward,f64,1,64x64,tenferro-eager,0.096042,0.004083,ok
large,grad_sum_svd_s_backward,f64,1,64x64,tenferro-eager,0.623375,0.030042,ok
large,grad_sum_solve_backward,f64,1,"64x64,rhs=1",tenferro-eager,0.190292,0.003333,ok
large,grad_sum_matmul,f64,1,128x128,tenferro-eager,0.030333,0.000542,ok
large,grad_sum_matmul_backward,f64,1,128x128,tenferro-eager,0.141583,0.003334,ok
large,grad_sum_svd_s_backward,f64,1,128x128,tenferro-eager,2.515208,0.039625,ok
large,grad_sum_solve_backward,f64,1,"128x128,rhs=1",tenferro-eager,0.405333,0.014209,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.004375,0.000126,ok
batched,batched_svd,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.029000,0.000667,ok
batched,batched_qr,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.019208,0.000250,ok
batched,batched_eigh,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.018542,0.000250,ok
batched,batched_solve,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.022000,0.001042,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.068375,0.002000,ok
batched,grad_sum_batched_solve_backward,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.160375,0.003958,ok
