suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
small,matmul,f64,4,2x2,tenferro-eager,0.073166,0.014084,ok
small,einsum_ij_jk_ik,f64,4,2x2,tenferro-eager,0.062625,0.007292,ok
small,svd,f64,4,2x2,tenferro-eager,0.044500,0.009042,ok
small,qr,f64,4,2x2,tenferro-eager,0.046375,0.005542,ok
small,eigh,f64,4,2x2,tenferro-eager,0.027333,0.016251,ok
small,solve,f64,4,"2x2,rhs=1",tenferro-eager,0.058833,0.008000,ok
small,solve,f64,4,"2x2,rhs=4",tenferro-eager,0.045417,0.014375,ok
small,grad_sum_matmul_backward,f64,4,2x2,tenferro-eager,0.308084,0.034417,ok
small,grad_sum_svd_s_backward,f64,4,2x2,tenferro-eager,0.252625,0.024250,ok
small,grad_sum_solve_backward,f64,4,"2x2,rhs=1",tenferro-eager,0.405291,0.104334,ok
small,matmul,f64,4,4x4,tenferro-eager,0.035875,0.004292,ok
small,einsum_ij_jk_ik,f64,4,4x4,tenferro-eager,0.036625,0.002667,ok
small,svd,f64,4,4x4,tenferro-eager,0.035792,0.002249,ok
small,qr,f64,4,4x4,tenferro-eager,0.030792,0.007167,ok
small,eigh,f64,4,4x4,tenferro-eager,0.032167,0.006792,ok
small,solve,f64,4,"4x4,rhs=1",tenferro-eager,0.042500,0.007042,ok
small,solve,f64,4,"4x4,rhs=4",tenferro-eager,0.040875,0.003208,ok
small,grad_sum_matmul_backward,f64,4,4x4,tenferro-eager,0.223708,0.018959,ok
small,grad_sum_svd_s_backward,f64,4,4x4,tenferro-eager,0.199291,0.024375,ok
small,grad_sum_solve_backward,f64,4,"4x4,rhs=1",tenferro-eager,0.330750,0.018626,ok
small,matmul,f64,4,8x8,tenferro-eager,0.034042,0.005042,ok
small,einsum_ij_jk_ik,f64,4,8x8,tenferro-eager,0.038791,0.008583,ok
small,svd,f64,4,8x8,tenferro-eager,0.035834,0.006333,ok
small,qr,f64,4,8x8,tenferro-eager,0.026833,0.005375,ok
small,eigh,f64,4,8x8,tenferro-eager,0.030375,0.003416,ok
small,solve,f64,4,"8x8,rhs=1",tenferro-eager,0.036583,0.004333,ok
