suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
small,matmul,f64,1,2x2,tenferro-eager,0.007875,0.005541,ok
small,einsum_ij_jk_ik,f64,1,2x2,tenferro-eager,0.036750,0.005041,ok
small,svd,f64,1,2x2,tenferro-eager,0.003125,0.001667,ok
small,qr,f64,1,2x2,tenferro-eager,0.002417,0.000043,ok
small,eigh,f64,1,2x2,tenferro-eager,0.002333,0.000208,ok
small,solve,f64,1,"2x2,rhs=1",tenferro-eager,0.002750,0.000292,ok
small,solve,f64,1,"2x2,rhs=4",tenferro-eager,0.002500,0.000083,ok
small,grad_sum_matmul_backward,f64,1,2x2,tenferro-eager,0.034042,0.003459,ok
small,grad_sum_svd_s_backward,f64,1,2x2,tenferro-eager,0.076542,0.001167,ok
small,grad_sum_solve_backward,f64,1,"2x2,rhs=1",tenferro-eager,0.053791,0.001042,ok
small,matmul,f64,1,4x4,tenferro-eager,0.003666,0.000125,ok
small,einsum_ij_jk_ik,f64,1,4x4,tenferro-eager,0.028875,0.002791,ok
small,svd,f64,1,4x4,tenferro-eager,0.006708,0.000250,ok
small,qr,f64,1,4x4,tenferro-eager,0.004041,0.000250,ok
small,eigh,f64,1,4x4,tenferro-eager,0.004875,0.000291,ok
small,solve,f64,1,"4x4,rhs=1",tenferro-eager,0.003833,0.000083,ok
small,solve,f64,1,"4x4,rhs=4",tenferro-eager,0.003833,0.000042,ok
small,grad_sum_matmul_backward,f64,1,4x4,tenferro-eager,0.047208,0.001459,ok
small,grad_sum_svd_s_backward,f64,1,4x4,tenferro-eager,0.068125,0.001459,ok
small,grad_sum_solve_backward,f64,1,"4x4,rhs=1",tenferro-eager,0.047042,0.000917,ok
small,matmul,f64,1,8x8,tenferro-eager,0.003125,0.000125,ok
small,einsum_ij_jk_ik,f64,1,8x8,tenferro-eager,0.024417,0.000709,ok
small,svd,f64,1,8x8,tenferro-eager,0.012084,0.000500,ok
