suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status
large,matmul,f64,1,128x128,tenferro-eager,0.040250,0.001917,ok
large,matmul,f64,1,256x256,tenferro-eager,0.193458,0.073416,ok
large,matmul,f64,1,512x512,tenferro-eager,0.986917,0.096667,ok
large,matmul,f64,1,1024x1024,tenferro-eager,5.891833,0.855375,ok
large,matmul_rect,f64,1,1024x256 * 256x1024,tenferro-eager,1.337916,0.035667,ok
large,matmul_rect,f64,1,256x1024 * 1024x256,tenferro-eager,0.409834,0.029666,ok
large,svd,f64,1,64x64,tenferro-eager,0.287125,0.017834,ok
large,qr,f64,1,64x64,tenferro-eager,0.072125,0.001167,ok
large,eigh,f64,1,64x64,tenferro-eager,0.215833,0.021751,ok
large,solve,f64,1,"64x64,rhs=1",tenferro-eager,0.025792,0.002209,ok
large,solve,f64,1,"64x64,rhs=16",tenferro-eager,0.029667,0.001750,ok
large,solve,f64,1,"64x64,rhs=64",tenferro-eager,0.039084,0.002542,ok
large,svd,f64,1,128x128,tenferro-eager,1.252667,0.045250,ok
large,qr,f64,1,128x128,tenferro-eager,0.386250,0.024000,ok
large,eigh,f64,1,128x128,tenferro-eager,0.630500,0.028750,ok
large,solve,f64,1,"128x128,rhs=1",tenferro-eager,0.078709,0.008792,ok
large,solve,f64,1,"128x128,rhs=16",tenferro-eager,0.080958,0.002333,ok
large,solve,f64,1,"128x128,rhs=64",tenferro-eager,0.104625,0.003291,ok
large,svd,f64,1,256x256,tenferro-eager,4.961417,0.080417,ok
large,qr,f64,1,256x256,tenferro-eager,1.168959,0.033083,ok
large,eigh,f64,1,256x256,tenferro-eager,2.772667,0.035209,ok
large,solve,f64,1,"256x256,rhs=1",tenferro-eager,0.320625,0.021625,ok
large,solve,f64,1,"256x256,rhs=16",tenferro-eager,0.327166,0.010917,ok
large,solve,f64,1,"256x256,rhs=64",tenferro-eager,0.378708,0.012375,ok
large,grad_sum_matmul,f64,1,64x64,tenferro-eager,0.012167,0.001000,ok
large,grad_sum_matmul_backward,f64,1,64x64,tenferro-eager,0.092667,0.023708,ok
large,grad_sum_svd_s_backward,f64,1,64x64,tenferro-eager,0.635208,0.039958,ok
large,grad_sum_solve_backward,f64,1,"64x64,rhs=1",tenferro-eager,0.189167,0.010124,ok
large,grad_sum_matmul,f64,1,128x128,tenferro-eager,0.029541,0.002709,ok
large,grad_sum_matmul_backward,f64,1,128x128,tenferro-eager,0.143959,0.004917,ok
large,grad_sum_svd_s_backward,f64,1,128x128,tenferro-eager,2.617542,0.052875,ok
large,grad_sum_solve_backward,f64,1,"128x128,rhs=1",tenferro-eager,0.424750,0.019166,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.005334,0.000042,ok
batched,batched_svd,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.032292,0.000500,ok
batched,batched_qr,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.021458,0.000332,ok
batched,batched_eigh,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.020125,0.000459,ok
batched,batched_solve,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.022667,0.000667,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch16 (native batch layout),tenferro-eager,0.071208,0.001333,ok
batched,grad_sum_batched_solve_backward,f64,1,"2x2xbatch16 (native batch layout),rhs=1",tenferro-eager,0.166917,0.004875,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,4x4xbatch16 (native batch layout),tenferro-eager,0.005542,0.000250,ok
batched,batched_svd,f64,1,4x4xbatch16 (native batch layout),tenferro-eager,0.049208,0.000958,ok
batched,batched_qr,f64,1,4x4xbatch16 (native batch layout),tenferro-eager,0.023959,0.000791,ok
batched,batched_eigh,f64,1,4x4xbatch16 (native batch layout),tenferro-eager,0.029250,0.000375,ok
batched,batched_solve,f64,1,"4x4xbatch16 (native batch layout),rhs=1",tenferro-eager,0.023500,0.000208,ok
batched,grad_sum_batched_matmul_backward,f64,1,4x4xbatch16 (native batch layout),tenferro-eager,0.072416,0.002875,ok
batched,grad_sum_batched_solve_backward,f64,1,"4x4xbatch16 (native batch layout),rhs=1",tenferro-eager,0.175167,0.012958,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,8x8xbatch16 (native batch layout),tenferro-eager,0.006500,0.000084,ok
batched,batched_svd,f64,1,8x8xbatch16 (native batch layout),tenferro-eager,0.111334,0.001126,ok
batched,batched_qr,f64,1,8x8xbatch16 (native batch layout),tenferro-eager,0.031292,0.000458,ok
batched,batched_eigh,f64,1,8x8xbatch16 (native batch layout),tenferro-eager,0.058834,0.003417,ok
batched,batched_solve,f64,1,"8x8xbatch16 (native batch layout),rhs=1",tenferro-eager,0.027500,0.000250,ok
batched,grad_sum_batched_matmul_backward,f64,1,8x8xbatch16 (native batch layout),tenferro-eager,0.081333,0.002417,ok
batched,grad_sum_batched_solve_backward,f64,1,"8x8xbatch16 (native batch layout),rhs=1",tenferro-eager,0.187500,0.004250,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,16x16xbatch16 (native batch layout),tenferro-eager,0.010792,0.001250,ok
batched,batched_svd,f64,1,16x16xbatch16 (native batch layout),tenferro-eager,0.352458,0.008292,ok
batched,batched_qr,f64,1,16x16xbatch16 (native batch layout),tenferro-eager,0.052416,0.000708,ok
batched,batched_eigh,f64,1,16x16xbatch16 (native batch layout),tenferro-eager,0.177208,0.003792,ok
batched,batched_solve,f64,1,"16x16xbatch16 (native batch layout),rhs=1",tenferro-eager,0.039875,0.000916,ok
batched,grad_sum_batched_matmul_backward,f64,1,16x16xbatch16 (native batch layout),tenferro-eager,0.101708,0.003250,ok
batched,grad_sum_batched_solve_backward,f64,1,"16x16xbatch16 (native batch layout),rhs=1",tenferro-eager,0.244458,0.007667,ok
batched,batched_matmul_ikb_kjb_ijb,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.006708,0.000291,ok
batched,batched_svd,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.107459,0.009334,ok
batched,batched_qr,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.068625,0.001332,ok
batched,batched_eigh,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.067416,0.001708,ok
batched,batched_solve,f64,1,"2x2xbatch64 (native batch layout),rhs=1",tenferro-eager,0.068667,0.003209,ok
batched,grad_sum_batched_matmul_backward,f64,1,2x2xbatch64 (native batch layout),tenferro-eager,0.078166,0.003000,ok
