suite,op,phase,dtype,backend,profile,shape,warmups,runs,median_ms,iqr_ms,status
large,matmul,primal,f64,system-accelerate,full,128x128,3,15,0.040250,0.001917,ok
large,matmul,primal,f64,system-accelerate,full,256x256,3,15,0.193458,0.073416,ok
large,matmul,primal,f64,system-accelerate,full,512x512,3,15,0.986917,0.096667,ok
large,matmul,primal,f64,system-accelerate,full,1024x1024,3,15,5.891833,0.855375,ok
large,matmul_rect,primal,f64,system-accelerate,full,1024x256 * 256x1024,3,15,1.337916,0.035667,ok
large,matmul_rect,primal,f64,system-accelerate,full,256x1024 * 1024x256,3,15,0.409834,0.029666,ok
large,svd,primal,f64,system-accelerate,full,64x64,3,15,0.287125,0.017834,ok
large,qr,primal,f64,system-accelerate,full,64x64,3,15,0.072125,0.001167,ok
large,eigh,primal,f64,system-accelerate,full,64x64,3,15,0.215833,0.021751,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.025792,0.002209,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=16",3,15,0.029667,0.001750,ok
large,solve,primal,f64,system-accelerate,full,"64x64,rhs=64",3,15,0.039084,0.002542,ok
large,svd,primal,f64,system-accelerate,full,128x128,3,15,1.252667,0.045250,ok
large,qr,primal,f64,system-accelerate,full,128x128,3,15,0.386250,0.024000,ok
large,eigh,primal,f64,system-accelerate,full,128x128,3,15,0.630500,0.028750,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=1",3,15,0.078709,0.008792,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=16",3,15,0.080958,0.002333,ok
large,solve,primal,f64,system-accelerate,full,"128x128,rhs=64",3,15,0.104625,0.003291,ok
large,svd,primal,f64,system-accelerate,full,256x256,3,15,4.961417,0.080417,ok
large,qr,primal,f64,system-accelerate,full,256x256,3,15,1.168959,0.033083,ok
large,eigh,primal,f64,system-accelerate,full,256x256,3,15,2.772667,0.035209,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=1",3,15,0.320625,0.021625,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=16",3,15,0.327166,0.010917,ok
large,solve,primal,f64,system-accelerate,full,"256x256,rhs=64",3,15,0.378708,0.012375,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,64x64,3,15,0.012167,0.001000,ok
large,grad_sum_matmul,backward,f64,system-accelerate,full,64x64,3,15,0.092667,0.023708,ok
large,grad_sum_svd_s,backward,f64,system-accelerate,full,64x64,3,15,0.635208,0.039958,ok
large,grad_sum_solve,backward,f64,system-accelerate,full,"64x64,rhs=1",3,15,0.189167,0.010124,ok
large,grad_sum_matmul,primal,f64,system-accelerate,full,128x128,3,15,0.029541,0.002709,ok
