suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/indexing_layout,scatter,f64,1,"262144",tenferro-direct,0.462500,0.024208,ok,"1D StableHLO-style scatter"
cpu/indexing_layout,scatter,f64,1,"262144",tenferro-trace,0.599459,0.088125,ok,"1D StableHLO-style scatter"
cpu/indexing_layout,slice,f64,1,"4194304 -> 2096128",tenferro-direct,0.774042,0.237668,ok,"static slice"
cpu/indexing_layout,slice,f64,1,"4194304 -> 2096128",tenferro-trace,1.197209,0.048624,ok,"static slice"
cpu/indexing_layout,dynamic_slice,f64,1,"4194304 -> 2097152",tenferro-direct,0.232375,0.004082,ok,"runtime-start slice"
cpu/indexing_layout,dynamic_slice,f64,1,"4194304 -> 2097152",tenferro-trace,0.822750,0.036208,ok,"runtime-start slice"
cpu/indexing_layout,dynamic_update_slice,f64,1,"2097152",tenferro-direct,0.371708,0.024750,ok,"runtime-start update"
cpu/indexing_layout,dynamic_update_slice,f64,1,"2097152",tenferro-trace,,,unsupported,"tenferro-rs has no TracedTensor dynamic_update_slice API"
cpu/indexing_layout,pad,f64,1,"2097152",tenferro-direct,0.344833,0.009959,ok,"edge padding"
cpu/indexing_layout,pad,f64,1,"2097152",tenferro-trace,0.638917,0.039417,ok,"edge padding"
cpu/indexing_layout,concatenate,f64,1,"1048576+1048576",tenferro-direct,0.265458,0.011541,ok,"concatenate along axis 0"
cpu/indexing_layout,concatenate,f64,1,"1048576+1048576",tenferro-trace,0.545792,0.036625,ok,"concatenate along axis 0"
cpu/indexing_layout,reverse,f64,1,"2097152",tenferro-direct,0.486417,0.039124,ok,"reverse axis 0"
cpu/indexing_layout,reverse,f64,1,"2097152",tenferro-trace,0.791292,0.036958,ok,"reverse axis 0"
cpu/structural_shape,transpose,f64,1,"4096x4096",tenferro-direct,29.167208,0.322083,ok,"materialized matrix transpose"
cpu/structural_shape,transpose,f64,1,"4096x4096",tenferro-trace,23.595084,0.124500,ok,"materialized matrix transpose"
cpu/structural_shape,reshape,f64,1,"33554432 -> 8192x4096",tenferro-direct,3.948209,0.141125,ok,"materialized reshape output"
cpu/structural_shape,reshape,f64,1,"33554432 -> 8192x4096",tenferro-trace,4.455542,0.109375,ok,"materialized reshape output"
cpu/structural_shape,broadcast_in_dim,f64,1,"8192x1 -> 8192x4096",tenferro-direct,3.253500,1.314875,ok,"materialized broadcast"
cpu/structural_shape,broadcast_in_dim,f64,1,"8192x1 -> 8192x4096",tenferro-trace,2.033416,0.027874,ok,"materialized broadcast"
cpu/structural_shape,cast_f64_f32,f64->f32,1,"33554432",tenferro-direct,3.668875,0.057958,ok,"dtype cast"
cpu/structural_shape,cast_f64_f32,f64->f32,1,"33554432",tenferro-trace,8.145125,0.112292,ok,"dtype cast"
cpu/structural_shape,extract_diagonal,f64,1,"8388608x2x2 -> 8388608x2",tenferro-direct,2.136125,0.112876,ok,"batched matrix diagonal extraction"
cpu/structural_shape,extract_diagonal,f64,1,"8388608x2x2 -> 8388608x2",tenferro-trace,6.654125,0.120417,ok,"batched matrix diagonal extraction"
cpu/structural_shape,embed_diagonal,f64,1,"8192 -> 8192x8192",tenferro-direct,1.977083,0.087375,ok,"embed vector as matrix diagonal"
cpu/structural_shape,embed_diagonal,f64,1,"8192 -> 8192x8192",tenferro-trace,2.004875,0.083124,ok,"embed vector as matrix diagonal"
cpu/structural_shape,tril,f64,1,"4096x4096",tenferro-direct,3.350125,0.118792,ok,"lower triangle"
cpu/structural_shape,tril,f64,1,"4096x4096",tenferro-trace,5.555792,0.114750,ok,"lower triangle"
cpu/structural_shape,triu,f64,1,"4096x4096",tenferro-direct,3.200666,0.247708,ok,"upper triangle"
cpu/structural_shape,triu,f64,1,"4096x4096",tenferro-trace,5.655875,0.149083,ok,"upper triangle"
cpu/view_metadata,reshape_view,f64,1,"33554432 -> 8192x4096",tenferro-direct,0.000709,0.000625,ok,"metadata-only view reshape; no output-sized copy"
