suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/elementwise_reduction,add,f64,4,"33554432",tenferro-direct,2.751625,0.239375,ok,"binary elementwise"
cpu/elementwise_reduction,add,f64,4,"33554432",tenferro-trace,2.738542,0.107458,ok,"binary elementwise"
cpu/elementwise_reduction,sub,f64,4,"33554432",tenferro-direct,2.639000,0.084625,ok,"binary elementwise"
cpu/elementwise_reduction,sub,f64,4,"33554432",tenferro-trace,2.646041,0.120084,ok,"binary elementwise"
cpu/elementwise_reduction,mul,f64,4,"33554432",tenferro-direct,2.788709,0.055417,ok,"binary elementwise"
cpu/elementwise_reduction,mul,f64,4,"33554432",tenferro-trace,2.884792,0.066500,ok,"binary elementwise"
cpu/elementwise_reduction,div,f64,4,"33554432",tenferro-direct,2.658208,0.166584,ok,"binary elementwise"
cpu/elementwise_reduction,div,f64,4,"33554432",tenferro-trace,2.652083,0.185375,ok,"binary elementwise"
cpu/elementwise_reduction,neg,f64,4,"33554432",tenferro-direct,1.640167,0.086084,ok,"unary elementwise"
cpu/elementwise_reduction,neg,f64,4,"33554432",tenferro-trace,1.681125,0.106041,ok,"unary elementwise"
cpu/elementwise_reduction,abs,f64,4,"33554432",tenferro-direct,1.658125,0.078707,ok,"unary elementwise"
cpu/elementwise_reduction,abs,f64,4,"33554432",tenferro-trace,1.660291,0.089209,ok,"unary elementwise"
cpu/elementwise_reduction,sign,f64,4,"33554432",tenferro-direct,3.238667,0.083501,ok,"unary elementwise"
cpu/elementwise_reduction,sign,f64,4,"33554432",tenferro-trace,3.201333,0.152792,ok,"unary elementwise"
cpu/elementwise_reduction,maximum,f64,4,"33554432",tenferro-direct,2.656625,0.260416,ok,"binary elementwise"
cpu/elementwise_reduction,maximum,f64,4,"33554432",tenferro-trace,2.663208,0.165958,ok,"binary elementwise"
cpu/elementwise_reduction,minimum,f64,4,"33554432",tenferro-direct,2.641042,0.185292,ok,"binary elementwise"
cpu/elementwise_reduction,minimum,f64,4,"33554432",tenferro-trace,2.729333,0.116333,ok,"binary elementwise"
cpu/elementwise_reduction,compare_lt,f64,4,"33554432",tenferro-direct,2.116625,0.151417,ok,"ordered compare"
cpu/elementwise_reduction,compare_lt,f64,4,"33554432",tenferro-trace,2.147458,0.119249,ok,"ordered compare"
cpu/elementwise_reduction,select,f64,4,"33554432",tenferro-direct,3.476584,0.166333,ok,"ternary select"
cpu/elementwise_reduction,select,f64,4,"33554432",tenferro-trace,3.465791,0.181916,ok,"ternary select"
cpu/elementwise_reduction,sqrt,f64,4,"33554432",tenferro-direct,2.029792,0.038249,ok,"analytic unary"
cpu/elementwise_reduction,sqrt,f64,4,"33554432",tenferro-trace,2.043500,0.024667,ok,"analytic unary"
cpu/elementwise_reduction,rsqrt,f64,4,"33554432",tenferro-direct,3.078250,0.033292,ok,"analytic unary"
cpu/elementwise_reduction,rsqrt,f64,4,"33554432",tenferro-trace,3.201708,0.191375,ok,"analytic unary"
cpu/elementwise_reduction,rem,f64,4,"8388608",tenferro-direct,4.419500,0.540083,ok,"binary elementwise"
cpu/elementwise_reduction,rem,f64,4,"8388608",tenferro-trace,4.228375,0.080958,ok,"binary elementwise"
cpu/elementwise_reduction,clamp,f64,4,"8388608",tenferro-direct,1.610125,0.095542,ok,"clamp with tensor bounds"
cpu/elementwise_reduction,clamp,f64,4,"8388608",tenferro-trace,1.606000,0.057667,ok,"clamp with tensor bounds"
cpu/elementwise_reduction,exp,f64,4,"8388608",tenferro-direct,4.042958,0.090917,ok,"analytic unary"
cpu/elementwise_reduction,exp,f64,4,"8388608",tenferro-trace,4.180958,0.177750,ok,"analytic unary"
cpu/elementwise_reduction,log,f64,4,"8388608",tenferro-direct,4.173042,0.130583,ok,"analytic unary"
cpu/elementwise_reduction,log,f64,4,"8388608",tenferro-trace,4.238333,0.329833,ok,"analytic unary"
cpu/elementwise_reduction,sin,f64,4,"8388608",tenferro-direct,3.917500,0.118291,ok,"analytic unary"
cpu/elementwise_reduction,sin,f64,4,"8388608",tenferro-trace,3.974875,0.088458,ok,"analytic unary"
cpu/elementwise_reduction,cos,f64,4,"8388608",tenferro-direct,4.425375,0.241250,ok,"analytic unary"
cpu/elementwise_reduction,cos,f64,4,"8388608",tenferro-trace,4.339417,0.114792,ok,"analytic unary"
cpu/elementwise_reduction,tanh,f64,4,"8388608",tenferro-direct,5.473541,0.190125,ok,"analytic unary"
cpu/elementwise_reduction,tanh,f64,4,"8388608",tenferro-trace,5.591291,0.155292,ok,"analytic unary"
cpu/elementwise_reduction,pow,f64,4,"4194304",tenferro-direct,5.148291,0.735499,ok,"binary analytic"
cpu/elementwise_reduction,pow,f64,4,"4194304",tenferro-trace,5.010500,0.141209,ok,"binary analytic"
cpu/elementwise_reduction,expm1,f64,4,"4194304",tenferro-direct,2.161958,0.035458,ok,"analytic unary"
cpu/elementwise_reduction,expm1,f64,4,"4194304",tenferro-trace,2.210834,0.045833,ok,"analytic unary"
cpu/elementwise_reduction,log1p,f64,4,"4194304",tenferro-direct,2.751708,0.234750,ok,"analytic unary"
cpu/elementwise_reduction,log1p,f64,4,"4194304",tenferro-trace,3.052625,2.024626,ok,"analytic unary"
cpu/elementwise_reduction,chain_log1p_exp_mul,f64,4,"4194304",tenferro-direct,6.714292,0.905917,ok,"short elementwise chain"
cpu/elementwise_reduction,chain_log1p_exp_mul,f64,4,"4194304",tenferro-trace,5.636166,1.240874,ok,"short elementwise chain"
cpu/elementwise_reduction,reduce_sum_all,f64,4,"8192x4096",tenferro-direct,4.626750,0.338417,ok,"full reduction"
cpu/elementwise_reduction,reduce_sum_all,f64,4,"8192x4096",tenferro-trace,4.601500,0.176292,ok,"full reduction"
cpu/elementwise_reduction,reduce_prod_all,f64,4,"8192x4096",tenferro-direct,6.128875,0.118666,ok,"full reduction"
cpu/elementwise_reduction,reduce_prod_all,f64,4,"8192x4096",tenferro-trace,6.148500,0.135917,ok,"full reduction"
cpu/elementwise_reduction,reduce_max_axis0,f64,4,"2048x2048",tenferro-direct,5.776625,0.058625,ok,"axis reduction"
cpu/elementwise_reduction,reduce_max_axis0,f64,4,"2048x2048",tenferro-trace,5.788666,0.036999,ok,"axis reduction"
cpu/elementwise_reduction,reduce_min_axis1,f64,4,"4096x4096",tenferro-direct,3.185375,0.081458,ok,"axis reduction"
cpu/elementwise_reduction,reduce_min_axis1,f64,4,"4096x4096",tenferro-trace,3.185125,0.039458,ok,"axis reduction"
cpu/indexing_layout,gather,f64,4,"262144",tenferro-direct,0.260459,0.094000,ok,"1D StableHLO-style gather"
cpu/indexing_layout,gather,f64,4,"262144",tenferro-trace,0.340458,0.063959,ok,"1D StableHLO-style gather"
cpu/indexing_layout,scatter,f64,4,"262144",tenferro-direct,0.479541,0.057416,ok,"1D StableHLO-style scatter"
cpu/indexing_layout,scatter,f64,4,"262144",tenferro-trace,0.593541,0.046834,ok,"1D StableHLO-style scatter"
cpu/indexing_layout,slice,f64,4,"4194304 -> 2096128",tenferro-direct,0.641333,0.033875,ok,"static slice"
cpu/indexing_layout,slice,f64,4,"4194304 -> 2096128",tenferro-trace,0.990667,0.059333,ok,"static slice"
cpu/indexing_layout,dynamic_slice,f64,4,"4194304 -> 2097152",tenferro-direct,0.253000,0.011083,ok,"runtime-start slice"
cpu/indexing_layout,dynamic_slice,f64,4,"4194304 -> 2097152",tenferro-trace,0.648125,0.050126,ok,"runtime-start slice"
cpu/indexing_layout,dynamic_update_slice,f64,4,"2097152",tenferro-direct,0.396583,0.026125,ok,"runtime-start update"
cpu/indexing_layout,dynamic_update_slice,f64,4,"2097152",tenferro-trace,,,unsupported,"tenferro-rs has no TracedTensor dynamic_update_slice API"
cpu/indexing_layout,pad,f64,4,"2097152",tenferro-direct,0.355083,0.013416,ok,"edge padding"
cpu/indexing_layout,pad,f64,4,"2097152",tenferro-trace,0.505000,0.041666,ok,"edge padding"
cpu/indexing_layout,concatenate,f64,4,"1048576+1048576",tenferro-direct,0.277000,0.016250,ok,"concatenate along axis 0"
