suite,benchmark,dtype,threads,shape,backend,median_ms,iqr_ms,status,notes
cpu/elementwise_reduction,tanh,f64,4,8388608,jax-cpu,2.243250,0.135584,ok,analytic unary; inputs and XLA compilation outside timed region
cpu/elementwise_reduction,reduce_max_axis0,f64,4,2048x2048,jax-cpu,0.388708,0.079584,ok,axis reduction; inputs and XLA compilation outside timed region
